ZIP,count,Total,percent_male,MedianAge,percentCollegeDegree,MedianIncome,percent_own
10006,,2507,0.453530116,31.3,82.2,101263,0.105131414
30346,1,5184,0.499421296,32.4,49.4,53474,0.105229592
10018,5,7021,0.519868965,30.9,57.2,78571,0.105456602
98104,16,12871,0.589076218,40.8,18.7,28537,0.107033639
98439,,5520,0.551086957,25.5,2.7,26847,0.110091743
35203,2,3457,0.609198727,37.6,37.5,20462,0.110252809
95811,6,7370,0.519674355,32.5,33.7,37306,0.111057922
10044,,12346,0.483233436,40.2,50.6,56462,0.111086524
10031,,59092,0.479929601,33,22.2,29758,0.111105765
63140,,252,0.555555556,38.4,0,17159,0.111111111
21201,19,15867,0.432280834,29.5,51.9,41340,0.112433274
29614,,2679,0.410227697,20.5,8,11953,0.112676056
68102,,6102,0.586037365,28.4,14,31443,0.113074205
93701,,10602,0.52839087,25.9,1.4,14975,0.113245703
95113,16,838,0.492840095,35.5,88.6,34102,0.113871636
10033,1,58710,0.509862034,35.9,19.7,26074,0.114365846
10451,2,47069,0.447109563,31.2,5.3,25477,0.114724171
72379,,61,0.770491803,48.1,,16705,0.11627907
78705,3,31282,0.499456556,20.9,7.6,30118,0.117595724
01103,,2556,0.493740219,33,3,25991,0.117836446
07114,1,14352,0.622840022,33.1,2.7,22204,0.119723525
02215,6,24213,0.439144261,21.6,12,48300,0.120228282
90015,6,18358,0.533445909,32.7,13.7,22190,0.120334262
13678,,153,0.483660131,31.5,,,0.120481928
68508,,14340,0.520153417,21.1,4.4,17296,0.121113689
90058,,2980,0.512751678,28.2,0,18438,0.121546961
94573,,117,0.606837607,25.1,0,34712,0.12195122
79901,1,10626,0.479201957,37.2,0.7,13567,0.122527614
02115,2,28928,0.499688883,21.8,12.4,46376,0.122634605
10467,2,98754,0.472446686,32.4,5.2,32355,0.123577423
28452,,883,0.408833522,30.3,0,10625,0.123778502
48502,,1068,0.744382022,29.2,4.4,17083,0.123893805
90007,4,43173,0.497324717,23.7,17.8,19671,0.124637681
10030,,28472,0.476573476,34,15.3,32118,0.12502157
92518,2,1049,0.585319352,63.9,0,31298,0.126459144
02142,9,2838,0.561310782,29.3,20.4,80386,0.127075812
90013,2,10256,0.613884555,43.2,32.1,35385,0.127241079
11226,,98325,0.451655225,33.8,8.5,31266,0.127900762
91204,6,15924,0.471929164,38.8,5.1,24387,0.128571429
32603,,8714,0.510442965,21.3,9,19838,0.129061372
33130,1,24338,0.518941573,34,10.1,17452,0.129283789
38036,,596,0.380872483,36.1,0,17250,0.129353234
89501,2,3533,0.61788848,49.5,0.8,23011,0.130317958
90012,15,29528,0.606746139,36.3,16.5,24337,0.131285202
