UA,UANAME,ZCTA5
54577,"Marion, IN Urban Cluster",46938
99999,Not in a 2010 urban area,46938
35218,"Greentown, IN Urban Cluster",46936
99999,Not in a 2010 urban area,46936
54577,"Marion, IN Urban Cluster",46933
99999,Not in a 2010 urban area,46933
99999,Not in a 2010 urban area,46932
99999,Not in a 2010 urban area,46931
99999,Not in a 2010 urban area,46930
99999,Not in a 2010 urban area,46929
28900,"Fairmount, IN Urban Cluster",46928
99999,Not in a 2010 urban area,46928
99999,Not in a 2010 urban area,46926
23149,"Delphi, IN Urban Cluster",46923
99999,Not in a 2010 urban area,46923
99999,Not in a 2010 urban area,46922
99999,Not in a 2010 urban area,46920
99999,Not in a 2010 urban area,46919
99999,Not in a 2010 urban area,46917
99999,Not in a 2010 urban area,46915
35716,"Grissom AFB, IN Urban Cluster",46914
99999,Not in a 2010 urban area,46914
99999,Not in a 2010 urban area,46913
99999,Not in a 2010 urban area,46911
99999,Not in a 2010 urban area,46910
45694,"Kokomo, IN Urbanized Area",46902
99999,Not in a 2010 urban area,46902
45694,"Kokomo, IN Urbanized Area",46901
99999,Not in a 2010 urban area,46901
31087,"Fort Wayne, IN Urbanized Area",46845
99999,Not in a 2010 urban area,46845
31087,"Fort Wayne, IN Urbanized Area",46835
99999,Not in a 2010 urban area,46835
31087,"Fort Wayne, IN Urbanized Area",46825
31087,"Fort Wayne, IN Urbanized Area",46819
99999,Not in a 2010 urban area,46819
31087,"Fort Wayne, IN Urbanized Area",46818
99999,Not in a 2010 urban area,46818
31087,"Fort Wayne, IN Urbanized Area",46816
99999,Not in a 2010 urban area,46816
31087,"Fort Wayne, IN Urbanized Area",46815
99999,Not in a 2010 urban area,46815
31087,"Fort Wayne, IN Urbanized Area",46814
99999,Not in a 2010 urban area,46814
31087,"Fort Wayne, IN Urbanized Area",46809
99999,Not in a 2010 urban area,46809
31087,"Fort Wayne, IN Urbanized Area",46808
99999,Not in a 2010 urban area,46808
31087,"Fort Wayne, IN Urbanized Area",46807
31087,"Fort Wayne, IN Urbanized Area",46806
31087,"Fort Wayne, IN Urbanized Area",46805
31087,"Fort Wayne, IN Urbanized Area",46804
