"UANUM","UANAME","Population","Latitude","Longitude","4 Week Rate","4 Week TRP","CPP","CPM"
79957,"Schuyler, NE",6255,41.4472222,-97.0591667,807.25,500.0,1.75,5.25
80011,"Scott City, KS",3647,38.4825,-100.9066667,1064.6666666667,466.6666666667,2.6666666667,9.0
80038,"Scott City, MO",5216,37.2185,-89.5206,4200.0,620.0,7.3,8.0
80065,"Scottsbluff, NE",25946,41.8666667,-103.66666670000001,1150.0,200.0,5.666666666699999,13.666666666700001
80092,"Scottsboro, AL",10069,34.6722222,-86.0341667,1600.0,400.0,4.0,4.0
80119,"Scottsburg, IN",11434,38.6855556,-85.77027779999999,1470.0,457.1428571429,3.5714285714,7.5714285714
80173,"Scottsville, KY",4251,36.7533333,-86.1905556,750.0,200.0,4.0,6.0
80227,"Scranton, PA",381502,41.408888899999994,-75.66277779999999,51600.0,766.6666666666999,62.8333333333,4.8333333333
80281,"Sealy, TX",5562,29.780555600000003,-96.1569444,1328.5714285714,371.4285714286,3.8571428571,10.714285714299999
80308,"Searcy, AR",25979,35.250555600000006,-91.73611109999999,1350.0,500.0,3.0,4.5
80362,"Seaside--Monterey, CA",114237,36.6002778,-121.8936111,114990.576923077,149.0384615385,193.88461538459998,3.4334615385
80335,"Seaside, OR",8489,45.993333299999996,-123.9213889,46783.5,1100.0,46.7,2.1
80389,"Seattle, WA",3059393,47.6063889,-122.33083329999998,151865.05,142.5,261.0,6.6745
80400,"Sebastian--Vero Beach South--Florida Ridge, FL",149422,27.58,-80.3869444,21527.0,266.6666666667,82.0,5.3333333333
80416,"Sebring--Avon Park, FL",61625,27.595555600000004,-81.5063889,4224.0833333333,733.3333333333001,6.166666666699999,6.25
80443,"Sedalia, MO",26178,38.70444439999999,-93.2280556,1437.5,575.0,3.125,12.0
80470,"Sedona, AZ",6761,34.8697222,-111.7602778,95000.0,300.0,332.5,8.5
80497,"Seguin, TX",24122,29.568611100000002,-97.9644444,29200.28125,156.25,47.78125,2.4753125
80524,"Selma, AL",23821,32.4072222,-87.02111109999998,2568.0,800.0,3.0,10.0
80551,"Selma, CA",41810,36.5708333,-119.6111111,32460.75,700.0,54.0,7.5
80578,"Selmer, TN",3840,35.17,-88.59222220000001,2333.3333333333,755.5555555556,3.7777777778,9.8888888889
80605,"Seminole, OK",5931,35.224444399999996,-96.6702778,1460.0,266.6666666667,6.666666666699999,6.333333333300001
80632,"Seminole, TX",6477,32.718888899999996,-102.6444444,2800.0,650.0,5.0,9.25
80659,"Senatobia, MS",6531,34.6175,-89.96861109999999,4020.0,720.0,5.8,9.8
80671,"Seneca, SC",26054,34.6855556,-82.9533333,1800.0,800.0,2.5,7.0
80686,"Sequim, WA",19286,48.0797222,-123.10055559999999,7754.166666666701,816.6666666666999,10.0833333333,6.416666666699999
80695,"Seven Lakes, NC",3757,35.2783333,-79.5647222,1350.0,300.0,5.0,7.0
80704,"Severance, CO",2670,40.5241667,-104.85055559999999,4550.0,200.0,23.0,8.5
80713,"Sevierville, TN",22108,35.868055600000005,-83.5619444,2216.6666666667,466.6666666667,5.0,7.0
80740,"Seville, OH",7396,41.01,-81.8625,110788.5625,156.25,182.25,6.158125
80767,"Seward, NE",6636,40.90694439999999,-97.09861109999999,807.25,500.0,1.75,5.25
80848,"Seymour (Outagamie County), WI",3500,44.514988,-88.33038,4956.25,500.0,11.0,4.9166666667
80794,"Seymour, IN",20695,38.959166700000004,-85.89027779999999,1470.0,457.1428571429,3.5714285714,7.5714285714
80875,"Shady Cove, OR",3379,45.2966667,-117.80694440000002,1080.0,200.0,5.5,7.0
80902,"Shady Side--Deale, MD",10784,38.77638889999999,-76.5555556,342597.875,156.25,556.5652173912999,11.014166666700001
80929,"Shafter, CA",18098,35.500555600000006,-119.27083329999999,44720.181818181794,945.4545454545,47.818181818199996,8.0
80956,"Shallowater, TX",3229,33.688888899999995,-101.9977778,8422.6666666667,600.0,16.0833333333,6.166666666699999
80985,"Shamokin--Mount Carmel, PA",30185,40.796944399999994,-76.4122222,3000.0,500.0,6.5,8.0
81002,"Shannondale, WV",2577,39.216944399999996,-77.8077778,2500.0,200.0,12.5,9.0
81064,"Shawano, WI",10527,44.7822222,-88.60888890000001,1305.0,360.0,4.0,6.8
81091,"Shawnee, OK",34255,35.3272222,-96.925,1460.0,266.6666666667,6.666666666699999,6.333333333300001
81118,"Sheboygan, WI",71313,43.7508333,-87.7144444,3758.8888888889,755.5555555556,6.0,5.2222222222
81172,"Shelby, MT",3037,48.5052778,-111.8561111,2031.25,550.0,4.75,6.0
81199,"Shelby, NC",27374,35.2922222,-81.5358333,1053.8461538462,476.9230769231,2.5384615385,4.6153846154
81226,"Shelby, OH",9305,40.8813889,-82.6619444,4532.0,240.0,19.8,5.8
81253,"Shelbyville, IL",4974,39.406388899999996,-88.79,1550.0,266.6666666667,7.0,13.0
81280,"Shelbyville, IN",20795,39.5213889,-85.7769444,1434.2857142857001,457.1428571429,3.4285714286,11.7142857143
81307,"Shelbyville, KY",20621,38.21194439999999,-85.22361109999999,2762.5,500.0,6.25,7.25
81334,"Shelbyville, TN",20005,35.4833333,-86.4602778,2712.5,700.0,4.5,14.75
81361,"Sheldon, IA",4887,43.1811111,-95.8558333,1003.75,250.0,4.5,18.75
81388,"Shelley, ID",4701,43.3813889,-112.1225,2270.0,350.0,7.0,5.5
81415,"Shelton, WA",18705,47.2152778,-123.09944440000001,151865.05,142.5,261.0,6.6745
81472,"Shenandoah--Mahanoy City--Frackville, PA",19009,40.783888899999994,-76.2305556,3000.0,500.0,6.5,8.0
81442,"Shenandoah, IA",5203,40.765555600000006,-95.3719444,900.0,200.0,5.0,6.0
